NrDrogi;2018;2019;2020;2021;2022
K1;200;172;101;63;46
K5;220;164;133;104;84
K6;154;128;91;110;79
K7;374;420;318;282;246
K8;223;260;189;184;193
K9;129;109;71;61;64
K10;183;166;107;122;102
K11;222;200;135;129;127
K12;311;263;209;182;179
K14;180;126;102;91;87
K15;170;123;107;88;76
K19;156;189;157;152;96
K22;159;145;123;95;90
K25;121;158;104;104;87
K28;128;128;99;88;84
K46;108;108;88;80;70
K72;118;125;103;102;81
K73;110;148;77;53;54
K74;163;106;104;93;83
K75;119;105;84;69;60
K78;101;215;88;83;67
K79;242;331;172;159;157
K91;373;206;242;277;197
K92;175;321;180;153;156
K94;322;172;265;261;282
